year,office,candidate,party,source_url,source_note
2014,State Assembly,Erv Nelson,,,
2014,State Assembly,Jerri D. Strasser,,,
2014,State Assembly,Jason Frierson,,,
2014,State Assembly,John Moore,,,
2014,State Assembly,Derek W. Armstrong,,,
2014,State Assembly,Andy Eisen,,,
2014,State Assembly,Adam-John Sanacore,,,
2014,State Assembly,James Healey,,,
2014,State Assembly,Brent A. Jones,,,
2014,State Assembly,Brent Leavitt,,,
2014,State Assembly,Dina Neal,,,
2014,State Assembly,Harvey J. Munford,,,
2014,State Assembly,Elliot T. Anderson,,,
2014,State Assembly,Benjamin Donlon,,,
2014,State Assembly,Roberto S. Juarez,,,
2014,State Assembly,Carol Linton,,,
2014,State Assembly,Ellen Spiegel,,,
2014,State Assembly,Irene Bustamante Adams,,,
2014,State Assembly,Howard Scheff,,,
2014,State Assembly,Roger O. Baum,,,
2014,State Assembly,Marilyn Kirkpatrick,,,
2014,State Assembly,Olivia Diaz,,,
2014,State Assembly,Maggie Carlton,,,
2014,State Assembly,Matthew Yarbrough,,,
2014,State Assembly,Edgar R. Flores,,,
2016,U.S. Senate,Tony Gumina,,,
2016,U.S. Senate,Thomas T. Sawyer,,,
2016,U.S. Senate,Jarrod M. Williams,,,
2016,U.S. House,Drew Knight,,,
2016,U.S. House,David Goossen,,,
2016,U.S. House,Reuben D'Silva,,,
2016,State Assembly,Wendy R. Cochran,,,
2020,U.S. House,Patricia Ackerman,,,
2020,U.S. House,Jonathan R. Esteban,,,
2020,U.S. House,Steven A. Horsford,,,
2020,U.S. House,Barry Rubinson,,,
2020,U.S. House,Edward Bridges Ii,,,
2020,U.S. House,Steve Brown,,,
2020,U.S. House,Suzanne Lee,,,
2020,U.S. House,Dan B. Rodimer,,,
2020,U.S. House,Kamau A. Bakari,,,
2020,U.S. House,Joyce Bentley,,,
2020,U.S. House,"Jr., R. Strawder",,,
2020,U.S. House,Dina Titus,,,
2020,State Senate,Heidi S. Gansert,Republican,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Senate,Wendy Jauregui-Jackins,Democratic,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Senate,Pete Goicoechea,Republican,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Senate,Tiffany G. Seeback,Independent American,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Alexis Hansen,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Paula Povilaitis,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Senate,Liz Becker,Democratic,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Senate,Scott T. Hammond,Republican,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence single-party Wikipedia match for candidate name.
2020,State Assembly,Jill Tolles,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Senate,April Becker,Republican,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence single-party Wikipedia match for candidate name.
2020,State Senate,Nicole Cannizzaro,Democratic,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Vance Alm,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Lisa Krasner,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Teresa Benitez-Thompson,,,
2020,State Assembly,Barb Hawn,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Senate,Christopher Brooks,Democratic,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/3; https://nevadagop.org/wp-content/uploads/2020/09/Clark-Republican-Candidate-Slate.pdf,Filled from source-backed candidate-party references (NV Legislature profile and NV GOP slate for district race); verify against NV SOS official canvass.
2020,State Assembly,Natha C. Anderson,,,
2020,State Assembly,Randy Hoff,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Charlene Young,Independent American,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Gregory Hafen Ii,,,
2020,State Senate,Carrie Buck,Republican,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence single-party Wikipedia match for candidate name.
2020,State Senate,Tim Hagan,Libertarian,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Senate,Kristee Watson,Democratic,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Richard S. Daly,,,
2020,State Assembly,Jill A. Dickman,,,
2020,State Assembly,Brent Foutz,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Bill Hoge,Independent American,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Glen Leavitt,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Deborah Chang,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Dave L. Jones,Libertarian,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Jim Wheeler,,,
2020,State Senate,Roberta Lange,Democratic,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Senate,Patricia P. Spearman,Democratic,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence single-party Wikipedia match for candidate name.
2020,State Senate,Esper M. Hickman,Republican,https://www.leg.state.nv.us/App/Legislator/A/Senate/81st2021/3; https://nevadagop.org/wp-content/uploads/2020/09/Clark-Republican-Candidate-Slate.pdf,Filled from source-backed candidate-party references (NV Legislature profile and NV GOP slate for district race); verify against NV SOS official canvass.
2020,State Senate,Dina Neal,Democratic,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Thomas Roberts,,,
2020,State Senate,Joshua Dowden,Republican,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Senate,Dallas Harris,Democratic,https://en.wikipedia.org/wiki/2022_Nevada_Senate_election; https://en.wikipedia.org/wiki/2020_Nevada_Senate_election; https://en.wikipedia.org/wiki/2018_Nevada_Senate_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,John C. Ellison,,,
2020,State Assembly,Shea Backus,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Andy Matthews,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Richard Mcarthur,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Connie Munk,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Robin L. Titus,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Ann A. Black,,,
2020,State Assembly,Sarah Peters,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Sena Loyd,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Philip P. O'Neill,,,
2020,State Assembly,John C. Gerhardt,,,
2020,State Assembly,Jeremy A. Graves,,,
2020,State Assembly,Susan Martinez,,,
2020,State Assembly,Lesley E. Cohen,,,
2020,State Assembly,Steven E. Delisle,,,
2020,State Assembly,Melissa Hardy,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Selena Torres,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Jonathan Friedrich,Independent American,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Chris Hisgen,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Rochelle Nguyen,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Jay Calhoun,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Michelle Gorelow,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Jack Polcyn,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Clara C. Thomas,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Shannon Bilbray-Axelrod,,,
2020,State Assembly,Jay T. Carlson,,,
2020,State Assembly,Heidi Kasama,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Radhika R. Kunnel,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Garrett Leduff,,,
2020,State Assembly,Venicia Considine,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Heather A. Florian,,,
2020,State Assembly,Barbara Altman,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Steve Yeager,,,
2020,State Assembly,Cecelia González,,,
2020,State Assembly,Reyna A. Sajdak,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Stan Vaughan,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Howard Watts,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Victoria K. Dacosta,,,
2020,State Assembly,Sandra Jauregui,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Erika Smith,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Brittney Miller,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Mack Miller,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Edward E. Facey,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Jason Frierson,Democratic,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
2020,State Assembly,Cherlyn Arrington,Republican,https://en.wikipedia.org/wiki/2020_Nevada_Assembly_election; https://en.wikipedia.org/wiki/2018_Nevada_Assembly_election,High-confidence Wikipedia candidate-party proximity match; verify against NV SOS official results.
