year,county,precinct,votes
2004,Clark,6485 - County,4289
2004,Clark,5391 - County,4257
2004,Clark,6324 - County,4249
2004,Clark,2470 - MOA,4228
2004,Washoe,RENO 416,4217
2004,Washoe,SPARKS 759,4211
2004,Clark,6383 - LAS,4202
2004,Clark,6473 - County,4195
2004,Clark,6384 - LAS,4190
2004,Washoe,VERDI 540 (MP),4180
2004,Washoe,INCLINE VILLAGE 739,4080
2004,Clark,5314 - County,4076
2004,Clark,4331 - LAS,4053
2004,Clark,2339 - County,4040
2004,Clark,7400 - HEN,4028
2004,Clark,6422 - County,4011
2004,Clark,2331 - LAS,3988
2004,Washoe,RENO 906,3986
2004,Washoe,RENO 832 MP,3943
2004,Clark,5313 - LAS,3909
2004,Clark,4350 - LAS,3872
2004,Washoe,SPARKS 830 (MP),3758
2004,Clark,2471 - MOA,3749
2004,Washoe,SPARKS 683 (MP),3725
2004,Washoe,VERDI 957 (MP),3707
2004,Washoe,RENO 216,3705
2004,Washoe,RENO 905,3640
2004,Nye,TONOPAH 16,3637
2004,Washoe,RENO 788 (MP),3606
2004,Washoe,RENO 355,3574
2004,Clark,4393 - NLV,3556
2004,Clark,6330 - LAS,3556
2004,Clark,2341 - LAS,3496
2004,Washoe,RENO 420,3489
2004,Clark,4413 - NLV,3488
2004,Clark,4351 - LAS,3460
2004,Washoe,SPARKS 624 (MP),3435
2004,Clark,4361 - LAS,3426
2004,Clark,2427 - County,3416
2004,Clark,6411 - County,3397
2004,Clark,4300 - NLV,3358
2004,Clark,4412 - NLV,3340
2004,Washoe,RENO 513 (MP),3334
2004,Clark,6364 - LAS,3300
2004,Clark,1464 - HEN,3286
2004,Clark,4392 - NLV,3282
2004,Washoe,RENO 142 (MP),3247
2004,Clark,4386 - LAS,3212
2004,Washoe,RENO 413,3207
2004,Washoe,SPARKS 604,3199
2004,Clark,7305 - County,3198
2004,Clark,6353 - LAS,3168
2004,Clark,4382 - LAS,3151
2004,Washoe,RENO 211 (MP),3151
2004,Washoe,SPARKS 713 (MP),3113
2004,Washoe,RENO 929 (MP),3106
2004,Clark,4341 - LAS,3094
2004,Clark,2411 - County,3082
2004,Washoe,RENO 963 (MP),3000
2004,Clark,4431 - County,2997
2004,Clark,3316 - County,2991
2004,Clark,4402 - NLV,2969
2004,Washoe,SPARKS 613 (MP),2962
2004,Washoe,RENO 433 (MP),2937
2004,Washoe,RENO 135,2931
2004,Clark,4324 - LAS,2918
2004,Clark,3411 - LAS,2900
2004,Washoe,SPARKS 718 (MP),2897
2004,Clark,2104 - County,2888
2004,Clark,6474 - County,2858
2004,Clark,2423 - County,2827
2004,Clark,2323 - LAS,2701
2004,Clark,6331 - LAS,2697
2004,Clark,5301 - County,2694
2004,Washoe,RENO 859 (MP),2675
2004,Washoe,RENO 708 (MP),2674
2004,Clark,4422 - NLV,2667
2004,Clark,4435 - County,2657
2004,Washoe,SPARKS 698 (MP),2656
2004,Clark,4019 - NLV,2652
2004,Clark,9991 - Pro,2628
2004,Clark,2336 - County,2621
2004,Washoe,RENO 220 (MP),2580
2004,Clark,4420 - NLV,2576
2004,Clark,4397 - NLV,2569
2004,Washoe,RENO 518,2561
2004,Clark,3497 - County,2560
2004,Washoe,GERLACH 806 (MP),2544
2004,Clark,2326 - LAS,2532
2004,Washoe,PROVISIONAL FEDERAL,2523
2004,Washoe,RENO 254 (MP),2494
2004,Clark,6423 - County,2468
2004,Clark,7362 - HEN,2465
2004,Clark,3480 - County,2431
2004,Clark,7401 - HEN,2427
2004,Clark,6321 - County,2394
2004,Washoe,SPARKS 606 (MP),2391
2004,Clark,5371 - County,2378
2004,Washoe,RENO 700 (MP),2378
2004,Washoe,SPARKS 808 (MP),2317
2004,Clark,9993 - Pro,2289
2004,Clark,3515 - County,2277
2004,Clark,4411 - NLV,2269
2004,Washoe,RENO 787 (MP),2259
2004,Washoe,SPARKS 753 (MP),2240
2004,Clark,2347 - County,2213
2004,Clark,1491 - HEN,2212
2004,Clark,6038 - County,2200
2004,Clark,4302 - NLV,2198
2004,Clark,4444 - County,2150
2004,Clark,4352 - LAS,2129
2004,Clark,4373 - LAS,2101
2004,Clark,4050 - LAS,1998
2004,Washoe,RENO 932 (MP),1988
2004,Clark,4344 - LAS,1949
2004,Clark,4427 - County,1932
2004,Clark,5341 - County,1902
2004,Washoe,RENO 879 (MP),1878
2004,Clark,5312 - LAS,1873
2004,Clark,5331 - County,1872
2004,Washoe,RENO 747 (MP),1869
2004,Clark,4022 - NLV,1861
2004,Washoe,RENO 440 (MP),1839
2004,Washoe,RENO 748 (MP),1821
2004,Clark,7310 - County,1809
2004,Clark,4401 - NLV,1796
2004,Clark,7016 - HEN,1792
2004,Washoe,RENO 204 (MP),1733
2004,Clark,4450 - LAS,1705
2004,Washoe,RENO 417 (MP),1645
2004,Clark,6335 - County,1636
2004,Washoe,RENO 900 (MP),1630
2004,Clark,2340 - County,1602
2004,Washoe,WADSWORTH 910 (MP),1589
2004,Clark,2416 - County,1571
2004,Washoe,RENO 434 (MP),1565
2004,Clark,4453 - LAS,1562
2004,Clark,4323 - County,1551
2004,Clark,4363 - LAS,1532
2004,Clark,7372 - LAS,1526
2004,Clark,4391 - NLV,1506
2004,Washoe,GERLACH 839 (MP),1479
2004,Washoe,RENO 432 (MP),1460
2004,Washoe,RENO 409 (MP),1451
2004,Washoe,SPARKS 746 (MP),1443
2004,Clark,4035 - LAS,1414
2004,Washoe,RENO 412 (MP),1406
2004,Washoe,RENO 978 (MP),1392
2004,Clark,2320 - County,1381
2004,Washoe,RENO 506 (MP),1375
2004,Clark,3354 - LAS,1366
2004,Clark,6371 - LAS,1357
2004,Clark,7307 - County,1353
2004,Washoe,RENO 784 (MP),1307
2004,Clark,6322 - LAS,1288
2004,Washoe,RENO 418 (MP),1286
2004,Clark,5306 - County,1275
2004,Clark,2335 - County,1257
2004,Washoe,RENO 321 (MP),1253
2004,Washoe,RENO 865 (MP),1250
2004,Clark,7318 - County,1240
2004,Washoe,SPARKS 691 (MP),1240
2004,Washoe,RENO 116 (MP),1218
2004,Washoe,RENO 771 (MP),1202
2004,Clark,4321 - LAS,1184
2004,Clark,6031 - LAS,1183
2004,Washoe,RENO 979 (MP),1174
2004,Washoe,RENO 403 (MP),1172
2004,Clark,7367 - County,1171
2004,Washoe,RENO 201 (MP),1166
2004,Washoe,SPARKS 631 (MP),1160
2004,Clark,4442 - County,1122
2004,Washoe,RENO 942 (MP),1110
2004,Clark,6525 - County,1080
2004,Clark,6315 - County,1078
2004,Washoe,GERLACH 805 (MP),1036
2004,Clark,4342 - LAS,1030
2004,Clark,3493 - County,983
2004,Clark,1050 - County,936
2004,Washoe,SPARKS 880 (MP),932
2004,Clark,5335 - County,919
2004,Clark,2428 - County,916
2004,Clark,3487 - County,916
2004,Washoe,RENO 460 (MP),912
2004,Clark,2348 - County,907
2004,Clark,1501 - HEN,897
2004,Washoe,VERDI 750 (MP),893
2004,Washoe,SPARKS 633 (MP),861
2004,Clark,1534 - County,855
2004,Washoe,SPARKS 774 (MP),838
2004,Clark,3477 - County,832
2004,Clark,1448 - County,798
2004,Clark,4432 - County,787
2004,Clark,4345 - LAS,762
2004,Clark,3543 - County,746
2004,Clark,7371 - LAS,745
2004,Clark,3446 - LAS,739
2004,Clark,3488 - County,721
2004,Clark,3511 - County,713
2004,Clark,3440 - County,695
2004,Clark,3533 - County,674
2004,Clark,4390 - NLV,667
2004,Washoe,VERDI 762 (MP),661
2004,Clark,4445 - County,657
2004,Washoe,RENO 912 (MP),651
2004,Clark,3512 - County,647
2004,Washoe,RENO 908 (MP),643
2004,Washoe,RENO 709 (MP),637
2004,Washoe,RENO 782 (MP),635
2004,Washoe,RENO 941 (MP),605
2004,Clark,1535 - County,599
2004,Clark,3302 - LAS,592
2004,Washoe,SPARKS 792 (MP),529
2004,Washoe,RENO 322 (MP),515
2004,Washoe,RENO 803 (MP),502
2004,Clark,1370 - County,501
2004,Clark,2106 - County,497
2004,Clark,1364 - County,487
2004,Washoe,RENO 939 (MP),476
2004,Clark,4340 - LAS,463
2004,Clark,3519 - County,458
2004,Lander,Gillman Springs 08,451
2004,Clark,2349 - LAS,449
2004,Washoe,RENO 327 (MP),440
2004,Washoe,SPARKS 733 (MP),432
2004,Clark,2415 - County,429
2004,Washoe,RENO 834 (MP),414
2004,Clark,3521 - County,404
2004,Clark,3523 - County,401
2004,Clark,3454 - LAS,393
2004,Clark,3310 - LAS,391
2004,Washoe,SPARKS 714 (MP),391
2004,Clark,2475 - MOA,387
2004,Washoe,RENO 752 (MP),340
2004,Washoe,RENO 760 (MP),340
2004,Washoe,FOC,314
2004,Washoe,RENO 704 (MP),313
2004,Clark,2472 - MOA,304
2004,Clark,7344 - HEN,292
2004,Washoe,RENO 946 (MP),270
2004,Washoe,SPARKS 745 (MP),258
2004,Clark,7077 - County,250
2004,Clark,9996 - County,233
2004,Washoe,SPARKS 836 (MP),216
2004,Nye,88,204
2004,Washoe,SPARKS 749 (MP),180
2004,Washoe,SPARKS 862 (MP),174
2004,Washoe,RENO 769 (MP),171
2004,Washoe,RENO 798 (MP),160
2004,Washoe,RENO 736 (MP),150
2004,Clark,3473 - County,100
2004,Clark,3432 - LAS,96
2004,Washoe,NO FIXED RES,93
2004,Clark,4404 - NLV,84
2004,Clark,9992 - Pro,72
2004,Clark,4395 - NLV,70
2004,Nye,99,61
2004,Clark,4405 - NLV,60
2004,Douglas,88,45
2004,Carson City,998,33
2004,Washoe,RENO 414 (MP),30
2004,Storey,88,11
2004,Carson City,999,0
2004,Churchill,88,0
2004,Churchill,99,0
2004,Clark,1070 - County,0
2004,Clark,1131 - HEN,0
2004,Clark,1132 - County,0
2004,Clark,1169- BOC,0
2004,Clark,1315 - County,0
2004,Clark,1359 - HEN,0
2004,Clark,1360 - County,0
2004,Clark,1362 - HEN,0
2004,Clark,1373 - County,0
2004,Clark,1471 - HEN,0
2004,Clark,1473 - HEN,0
2004,Clark,1474 - HEN,0
2004,Clark,1475 - County,0
2004,Clark,1502 - County,0
2004,Clark,1503 - County,0
2004,Clark,2050 - LAS,0
2004,Clark,2052 - LAS,0
2004,Clark,2324 - LAS,0
2004,Clark,2327 - LAS,0
2004,Clark,2328 - LAS,0
2004,Clark,2337 - County,0
2004,Clark,2338 - LAS,0
2004,Clark,2343 - County,0
2004,Clark,2344 - LAS,0
2004,Clark,2410 - NLV,0
2004,Clark,2421 - County,0
2004,Clark,2437 - County,0
2004,Clark,2438 - NLV,0
2004,Clark,2439 - NLV,0
2004,Clark,2442 - County,0
2004,Clark,2443 - County,0
2004,Clark,2450 - LAS,0
2004,Clark,3147 - County,0
2004,Clark,3235 - County,0
2004,Clark,3304 - County,0
2004,Clark,3305 - County,0
2004,Clark,3306 - County,0
2004,Clark,3308 - LAS,0
2004,Clark,3309 - LAS,0
2004,Clark,3436 - LAS,0
2004,Clark,3441 - County,0
2004,Clark,3459 - County,0
2004,Clark,3466 - LAS,0
2004,Clark,3479 - County,0
2004,Clark,3486 - LAS,0
2004,Clark,3492 - County,0
2004,Clark,3516 - County,0
2004,Clark,3517 - County,0
2004,Clark,3522 - County,0
2004,Clark,3524 - LAS,0
2004,Clark,3527 - LAS,0
2004,Clark,3528 - LAS,0
2004,Clark,3534 - County,0
2004,Clark,4322 - County,0
2004,Clark,4332 - LAS,0
2004,Clark,4421 - NLV,0
2004,Clark,4423 - NLV,0
2004,Clark,5310 - LAS,0
2004,Clark,5357 - County,0
2004,Clark,5366 - County,0
2004,Clark,5382 - County,0
2004,Clark,6301 - LAS,0
2004,Clark,6302 - LAS,0
2004,Clark,6303 - LAS,0
2004,Clark,6314 - LAS,0
2004,Clark,6316 - County,0
2004,Clark,6339 - LAS,0
2004,Clark,6402 - LAS,0
2004,Clark,6410 - County,0
2004,Clark,6511 - County,0
2004,Clark,7320 - County,0
2004,Clark,7348 - HEN,0
2004,Clark,7349 - HEN,0
2004,Clark,7350 - HEN,0
2004,Clark,7396 - HEN,0
2004,Clark,9994 - County,0
2004,Douglas,99,0
2004,Elko,88,0
2004,Elko,99,0
2004,Esmeralda,88,0
2004,Esmeralda,99,0
2004,Eureka,88,0
2004,Eureka,99,0
2004,Humboldt,88,0
2004,Humboldt,99,0
2004,Lander,88,0
2004,Lander,99,0
2004,Lincoln,88,0
2004,Lincoln,99,0
2004,Lyon,88,0
2004,Lyon,99,0
2004,Mineral,88,0
2004,Mineral,99,0
2004,Pershing,88,0
2004,Pershing,99,0
2004,Storey,99,0
2004,Washoe,GERLACH 823 (MP),0
2004,Washoe,GERLACH 849 (MP),0
2004,Washoe,GERLACH 903 (MP),0
2004,Washoe,INCLINE VILLAGE 738 (MP),0
2004,Washoe,INCLINE VILLAGE 740 (MP),0
2004,Washoe,INCLINE VILLAGE 785 (MP),0
2004,Washoe,INCLINE VILLAGE 881 (MP),0
2004,Washoe,INCLINE VILLAGE 970 (MP),0
2004,Washoe,RENO 104 (MP),0
2004,Washoe,RENO 111 (MP),0
2004,Washoe,RENO 114 (MP),0
2004,Washoe,RENO 144 (MP),0
2004,Washoe,RENO 145 (MP),0
2004,Washoe,RENO 146 (MP),0
2004,Washoe,RENO 149 (MP),0
2004,Washoe,RENO 205 (MP),0
2004,Washoe,RENO 217 (MP),0
2004,Washoe,RENO 218 (MP),0
2004,Washoe,RENO 244 (MP),0
2004,Washoe,RENO 246 (MP),0
2004,Washoe,RENO 247 (MP),0
2004,Washoe,RENO 248 (MP),0
2004,Washoe,RENO 249 (MP),0
2004,Washoe,RENO 253 (MP),0
2004,Washoe,RENO 303 (MP),0
2004,Washoe,RENO 305 (MP),0
2004,Washoe,RENO 308 (MP),0
2004,Washoe,RENO 311 (MP),0
2004,Washoe,RENO 318 (MP),0
2004,Washoe,RENO 356 (MP),0
2004,Washoe,RENO 357 (MP),0
2004,Washoe,RENO 415 (MP),0
2004,Washoe,RENO 431 (MP),0
2004,Washoe,RENO 502 (MP),0
2004,Washoe,RENO 538 (MP),0
2004,Washoe,RENO 711 (MP),0
2004,Washoe,RENO 715 (MP),0
2004,Washoe,RENO 716 (MP),0
2004,Washoe,RENO 717 (MP),0
2004,Washoe,RENO 751 (MP),0
2004,Washoe,RENO 755 (MP),0
2004,Washoe,RENO 757 (MP),0
2004,Washoe,RENO 761 (MP),0
2004,Washoe,RENO 763 (MP),0
2004,Washoe,RENO 764 (MP),0
2004,Washoe,RENO 765 (MP),0
2004,Washoe,RENO 767 (MP),0
2004,Washoe,RENO 772 (MP),0
2004,Washoe,RENO 777 (MP),0
2004,Washoe,RENO 779 (MP),0
2004,Washoe,RENO 783 (MP),0
2004,Washoe,RENO 797 (MP),0
2004,Washoe,RENO 822 (MP),0
2004,Washoe,RENO 824 (MP),0
2004,Washoe,RENO 827 (MP),0
2004,Washoe,RENO 828 (MP),0
2004,Washoe,RENO 829 (MP),0
2004,Washoe,RENO 833 (MP),0
2004,Washoe,RENO 835 (MP),0
2004,Washoe,RENO 864 (MP),0
2004,Washoe,RENO 875 (MP),0
2004,Washoe,RENO 882 (MP),0
2004,Washoe,RENO 883 (MP),0
2004,Washoe,RENO 887 (MP),0
2004,Washoe,RENO 889 (MP),0
2004,Washoe,RENO 901 (MP),0
2004,Washoe,RENO 904 (MP),0
2004,Washoe,RENO 907 (MP),0
2004,Washoe,RENO 914 (MP),0
2004,Washoe,RENO 915 (MP),0
2004,Washoe,RENO 920 (MP),0
2004,Washoe,RENO 961 (MP),0
2004,Washoe,RENO 962 (MP),0
2004,Washoe,RENO 966 (MP),0
2004,Washoe,RENO 972 (MP),0
2004,Washoe,RENO 973 (MP),0
2004,Washoe,RENO 974 (MP),0
2004,Washoe,RENO 975 (MP),0
2004,Washoe,RENO 977 (MP),0
2004,Washoe,RENO 980 (MP),0
2004,Washoe,RENO 981 (MP),0
2004,Washoe,RENO 982 (MP),0
2004,Washoe,RENO 983 (MP),0
2004,Washoe,RENO 984 (MP),0
2004,Washoe,RENO 986 (MP),0
2004,Washoe,RENO 987 (MP),0
2004,Washoe,RENO 988 (MP),0
2004,Washoe,RENO 989 (MP),0
2004,Washoe,RENO 990 (MP),0
2004,Washoe,RENO 991 (MP),0
2004,Washoe,RENO 992 (MP),0
2004,Washoe,SPARKS 607 (MP),0
2004,Washoe,SPARKS 608 (MP),0
2004,Washoe,SPARKS 626 (MP),0
2004,Washoe,SPARKS 634 (MP),0
2004,Washoe,SPARKS 656 (MP),0
2004,Washoe,SPARKS 681 (MP),0
2004,Washoe,SPARKS 706 (MP),0
2004,Washoe,SPARKS 743 (MP),0
2004,Washoe,SPARKS 766 (MP),0
2004,Washoe,SPARKS 773 (MP),0
2004,Washoe,SPARKS 775 (MP),0
2004,Washoe,SPARKS 776 (MP),0
2004,Washoe,SPARKS 778 (MP),0
2004,Washoe,SPARKS 793 (MP),0
2004,Washoe,SPARKS 799 (MP),0
2004,Washoe,SPARKS 800 (MP),0
2004,Washoe,SPARKS 820 (MP),0
2004,Washoe,SPARKS 860 (MP),0
2004,Washoe,SPARKS 866 (MP),0
2004,Washoe,SPARKS 876 (MP),0
2004,Washoe,SPARKS 884 (MP),0
2004,Washoe,SPARKS 886 (MP),0
2004,Washoe,SPARKS 888 (MP),0
2004,Washoe,SPARKS 891 (MP),0
2004,Washoe,SPARKS 892 (MP),0
2004,Washoe,SPARKS 895 (MP),0
2004,Washoe,SPARKS 924 (MP),0
2004,Washoe,SPARKS 926 (MP),0
2004,Washoe,SPARKS 948 (MP),0
2004,Washoe,SPARKS 949 (MP),0
2004,Washoe,SPARKS 950 (MP),0
2004,Washoe,SPARKS 951 (MP),0
2004,Washoe,SPARKS 952 (MP),0
2004,Washoe,SPARKS 965 (MP),0
2004,Washoe,SPARKS 985 (MP),0
2004,Washoe,VERDI 133 (MP),0
2004,Washoe,VERDI 147 (MP),0
2004,Washoe,VERDI 529 (MP),0
2004,Washoe,VERDI 541 (MP),0
2004,Washoe,VERDI 542 (MP),0
2004,Washoe,VERDI 543 (MP),0
2004,Washoe,VERDI 544 (MP),0
2004,Washoe,VERDI 545 (MP),0
2004,Washoe,VERDI 546 (MP),0
2004,Washoe,VERDI 768 (MP),0
2004,Washoe,VERDI 825 (MP),0
2004,Washoe,VERDI 919 (MP),0
2004,Washoe,VERDI 934 (MP),0
2004,Washoe,VERDI 943 (MP),0
2004,Washoe,WADSWORTH 869 (MP),0
2004,Washoe,WADSWORTH 896 (MP),0
2004,Washoe,WADSWORTH 911 (MP),0
2004,Washoe,WADSWORTH 925 (MP),0
2004,Washoe,WADSWORTH 955 (MP),0
2004,White Pine,88,0
2004,White Pine,99,0
2006,Clark,1522 - HEN,40702
2006,Clark,3412 - LAS,34620
2006,Clark,1523 - HEN,34589
2006,Clark,1073 - LGH,32916
2006,Clark,1512 - HEN,32588
2006,Clark,1003 - BOC,32518
2006,Clark,1355 - County,32456
2006,Clark,3505 - LAS,32036
2006,Clark,1310 - County,31268
2006,Clark,2365 - NLV,31077
2006,Carson City,311,30962
2006,Clark,1472 - HEN,30813
2006,Clark,3520 - LAS,30730
2006,Clark,3404 - LAS,30714
2006,Clark,3541 - LAS,29663
2006,Washoe,SPARKS 6409,29263
2006,Clark,3502 - LAS,29243
2006,Clark,6482 - County,28595
2006,Clark,5414 - County,28441
2006,Clark,6374 - LAS,28214
2006,Clark,7380 - County,28173
2006,Clark,2467 - MES,28099
2006,Clark,3214 - LAS,27998
2006,Clark,1451 - HEN,27900
2006,Clark,3462 - County,27822
2006,Clark,1515 - MES,27460
2006,Clark,5424 - County,27119
2006,Clark,1149 - HEN,26815
2006,Clark,6524 - County,26758
2006,Clark,1461 - HEN,26680
2006,Clark,1138 - County,26581
2006,Clark,7388 - County,26368
2006,Clark,1009 - BOC,26205
2006,Clark,1324 - County,26059
2006,Clark,3228 - LAS,26013
2006,Clark,3481 - LAS,25924
2006,Clark,1526 - HEN,25912
2006,Clark,3351 - LAS,25552
2006,Clark,7365 - HEN,25546
2006,Clark,1527 - HEN,25463
2006,Clark,3452 - LAS,25362
2006,Clark,3041 - LAS,25322
2006,Clark,1421 - HEN,25319
2006,Clark,6083 - County,25178
2006,Clark,2361 - NLV,25160
2006,Clark,1531 - MVA,25104
2006,Clark,1008 - BOC,25039
2006,Clark,2432 - County,25004
2006,Clark,1007 - BOC,24739
2006,Clark,5423 - County,24673
2006,Clark,6421 - County,24576
2006,Clark,3034 - LAS,24513
2006,Clark,3324 - County,24501
2006,Clark,1430 - HEN,24369
2006,Clark,3494 - LAS,24367
2006,Clark,1463 - HEN,24365
2006,Clark,3463 - LAS,24363
2006,Clark,1490 - HEN,24112
2006,Clark,1311 - County,24032
2006,Clark,3442 - LAS,23852
2006,Clark,3360 - LAS,23795
2006,Clark,3353 - LAS,23691
2006,Clark,1113 - HEN,23608
2006,Clark,1321 - County,23380
2006,Clark,2434 - County,23354
2006,Clark,1468 - HEN,23351
2006,Clark,1455 - HEN,23345
2006,Clark,1492 - HEN,23337
2006,Clark,3219 - LAS,23223
2006,Clark,1402 - HEN,23143
2006,Clark,3390 - LAS,23142
2006,Clark,1322 - County,22970
2006,Clark,1142 - County,22823
2006,Washoe,SPARKS 6420,22795
2006,Clark,3130 - LAS,22684
2006,Clark,3450 - LAS,22662
2006,Clark,3483 - LAS,22649
2006,Washoe,SPARKS 6407,22635
2006,Clark,3482 - LAS,22569
2006,Clark,2375 - NLV,22568
2006,Washoe,SPARKS 6515,22525
2006,Clark,3320 - LAS,22513
2006,Clark,3508 - LAS,22483
2006,Clark,1482 - HEN,22470
2006,Clark,3313 - County,22404
2006,Clark,7315 - County,22308
2006,Clark,1433 - HEN,22260
2006,Clark,6441 - County,22213
2006,Clark,3330 - County,22066
2006,Clark,3038 - LAS,21767
2006,Clark,6432 - County,21755
2006,Clark,7412 - HEN,21742
2006,Clark,6481 - County,21681
2006,Clark,7335 - County,21672
2006,Washoe,SPARKS 6312,21661
2006,Clark,3444 - County,21651
2006,Clark,2364 - NLV,21644
2006,Clark,7345 - HEN,21572
2006,Clark,3424 - LAS,21533
2006,Clark,1163 - HEN,21516
2006,Clark,7424 - County,21443
2006,Clark,1420 - HEN,21430
2006,Clark,2351 - LAS,21424
2006,Clark,3352 - LAS,21370
2006,Clark,7326 - County,21327
2006,Clark,3229 - LAS,21116
2006,Clark,2133 - County,21099
2006,Clark,7328 - County,21063
2006,Clark,2350 - LAS,20940
2006,Clark,7333 - County,20922
2006,Clark,1325 - County,20921
2006,Clark,2395 - NLV,20874
2006,Clark,3485 - LAS,20870
2006,Clark,7317 - County,20866
2006,Clark,3341 - LAS,20693
2006,Clark,1404 - HEN,20660
2006,Clark,1530 - BOC,20645
2006,Clark,1082 - HEN,20641
2006,Clark,5344 - County,20631
2006,Clark,3415 - LAS,20622
2006,Clark,7324 - County,20543
2006,Clark,7321 - County,20526
2006,Clark,6450 - County,20493
2006,Clark,1005 - BOC,20489
2006,Clark,6375 - LAS,20470
2006,Clark,1392 - HEN,20437
2006,Clark,2300 - LAS,20401
2006,Clark,1453 - HEN,20339
2006,Clark,1470 - HEN,20315
2006,Clark,5415 - County,20279
2006,Clark,2435 - County,20231
2006,Clark,1323 - County,20188
2006,Clark,1002 - BOC,20125
2006,Clark,5432 - County,20107
2006,Clark,7386 - County,20107
2006,Clark,3042 - LAS,20054
2006,Clark,3472 - LAS,20019
2006,Clark,3443 - LAS,20012
2006,Clark,7005 - HEN,19887
2006,Clark,6380 - LAS,19862
2006,Clark,1001 - BOC,19808
2006,Clark,1010 - BOC,19804
2006,Clark,1480 - HEN,19778
2006,Clark,3350 - LAS,19723
2006,Clark,6534 - County,19656
2006,Clark,1316 - County,19609
2006,Clark,7423 - County,19552
2006,Clark,6069 - County,19462
2006,Washoe,RENO-VERDI 5038,19460
2006,Clark,2448 - NLV,19443
2006,Clark,1494 - HEN,19418
2006,Clark,5421 - County,19387
2006,Clark,3495 - LAS,19327
2006,Clark,3362 - LAS,19295
2006,Clark,7374 - County,19274
2006,Clark,1456 - HEN,19239
2006,Washoe,SPARKS 7411,19232
2006,Clark,1108 - HEN,19145
2006,Clark,3510 - LAS,19144
2006,Clark,1424 - HEN,19118
2006,Washoe,RENO-VERDI 5004,19068
2006,Clark,1006 - BOC,19054
2006,Clark,1484 - HEN,18986
2006,Clark,7314 - County,18975
2006,Clark,7086 - County,18962
2006,Clark,1127 - HEN,18960
2006,Clark,6433 - County,18922
2006,Clark,3127 - LAS,18863
2006,Clark,5351 - LAS,18825
2006,Clark,6396 - LAS,18808
2006,Clark,3332 - County,18805
2006,Clark,3323 - LAS,18798
2006,Clark,1465 - HEN,18754
2006,Washoe,SPARKS 6502,18742
2006,Washoe,RENO-VERDI 1028,18740
2006,Clark,3321 - LAS,18728
2006,Clark,6343 - LAS,18728
2006,Clark,5322 - County,18711
2006,Clark,7052 - County,18687
2006,Clark,1435 - HEN,18610
2006,Clark,3549 - LAS,18590
2006,Clark,5355 - County,18590
2006,Clark,1449 - County,18529
2006,Clark,7375 - County,18521
2006,Clark,6350 - LAS,18507
2006,Clark,2346 - LAS,18461
2006,Clark,3461 - County,18425
2006,Clark,3550 - LAS,18297
2006,Clark,2312 - LAS,18250
2006,Clark,1317 - County,18242
2006,Clark,6523 - County,18234
2006,Clark,6444 - County,18208
2006,Clark,2374 - NLV,18041
2006,Clark,3548 - LAS,18015
2006,Clark,3225 - LAS,17996
2006,Clark,3500 - LAS,17974
2006,Clark,3491 - LAS,17971
2006,Clark,6451 - County,17962
2006,Clark,4424 - County,17940
2006,Clark,7033 - County,17859
2006,Clark,1481 - HEN,17823
2006,Clark,6460 - County,17813
2006,Clark,1405 - HEN,17746
2006,Clark,3423 - LAS,17742
2006,Clark,1452 - HEN,17728
2006,Clark,7342 - HEN,17704
2006,Clark,6454 - County,17700
2006,Clark,5422 - County,17665
2006,Clark,2311 - LAS,17628
2006,Clark,1445 - HEN,17611
2006,Clark,3344 - LAS,17566
2006,Clark,6464 - County,17441
2006,Clark,5320 - LAS,17408
2006,Clark,5304 - County,17328
2006,Clark,4301 - NLV,17321
2006,Clark,6079 - County,17302
2006,Clark,3227 - LAS,17301
2006,Clark,7404 - HEN,17274
2006,Clark,7377 - County,17267
2006,Clark,1493 - HEN,17244
2006,Clark,3334 - County,17244
2006,Clark,7046 - County,17232
2006,Clark,7083 - County,17220
2006,Clark,2451 - LAS,17106
2006,Clark,6013 - LAS,17028
2006,Clark,3090 - LAS,16956
2006,Clark,1116 - HEN,16945
2006,Clark,3420 - LAS,16940
2006,Clark,5024 - County,16929
2006,Clark,6355 - LAS,16810
2006,Clark,1423 - HEN,16773
2006,Clark,4330 - LAS,16655
2006,Clark,3530 - LAS,16636
2006,Clark,3337 - County,16612
2006,Clark,6455 - County,16604
2006,Clark,3445 - County,16596
2006,Clark,3220 - LAS,16566
2006,Clark,1313 - County,16562
2006,Clark,6363 - LAS,16556
2006,Clark,1124 - HEN,16501
2006,Clark,2454 - LAS,16484
2006,Clark,6354 - LAS,16468
2006,Clark,1442 - HEN,16452
2006,Washoe,SPARKS 6517,16420
2006,Clark,6073 - County,16395
2006,Clark,2362 - NLV,16372
2006,Clark,2342 - LAS,16353
2006,Clark,3035 - LAS,16326
2006,Clark,4325 - LAS,16305
2006,Clark,7394 - HEN,16289
2006,Clark,6401 - LAS,16280
2006,Clark,1440 - HEN,16237
2006,Clark,3501 - LAS,16236
2006,Clark,1454 - HEN,16226
2006,Clark,7036 - County,16225
2006,Clark,5031 - County,16221
2006,Clark,4311 - NLV,16143
2006,Clark,1401 - HEN,16087
2006,Clark,2482 - NLV,16076
2006,Washoe,RENO-VERDI 5044,16041
2006,Washoe,SPARKS 6201,16019
2006,Clark,5416 - County,15985
2006,Clark,6332 - LAS,15954
2006,Clark,3401 - LAS,15952
