year,office,candidate,count_missing_rows
2014,State Assembly,Adam-John Sanacore,31
2014,State Assembly,James Healey,31
2014,State Assembly,Brent A. Jones,31
2014,State Assembly,Brent Leavitt,31
2014,State Assembly,Dina Neal,31
2014,State Assembly,Harvey J. Munford,30
2014,State Assembly,Elliot T. Anderson,30
2014,State Assembly,Benjamin Donlon,30
2014,State Assembly,Roberto S. Juarez,30
2014,State Assembly,Carol Linton,30
2014,State Assembly,Ellen Spiegel,30
2014,State Assembly,Irene Bustamante Adams,26
2014,State Assembly,Howard Scheff,26
2014,State Assembly,Roger O. Baum,26
2014,State Assembly,Marilyn Kirkpatrick,26
2014,State Assembly,Olivia Diaz,26
2014,State Assembly,Maggie Carlton,24
2014,State Assembly,Matthew Yarbrough,24
2014,State Assembly,Edgar R. Flores,20
2016,U.S. Senate,Tony Gumina,1984
2016,U.S. Senate,Thomas T. Sawyer,1984
2016,U.S. Senate,Jarrod M. Williams,1984
2016,U.S. House,Drew Knight,785
2016,U.S. House,David Goossen,416
2016,U.S. House,Reuben D'Silva,309
2016,State Assembly,Wendy R. Cochran,48
2020,U.S. House,Patricia Ackerman,772
2020,U.S. House,Jonathan R. Esteban,479
2020,U.S. House,Steven A. Horsford,479
2020,U.S. House,Barry Rubinson,479
2020,U.S. House,Edward Bridges Ii,430
2020,U.S. House,Suzanne Lee,430
2020,U.S. House,Dan B. Rodimer,430
2020,U.S. House,Joyce Bentley,312
2020,U.S. House,"Jr., R. Strawder",312
2020,State Assembly,Teresa Benitez-Thompson,78
2020,State Assembly,Natha C. Anderson,74
2020,State Assembly,Richard S. Daly,71
2020,State Assembly,Jill A. Dickman,71
2020,State Assembly,Jim Wheeler,67
2020,State Assembly,Thomas Roberts,60
2020,State Assembly,John C. Ellison,58
2020,State Assembly,Ann A. Black,46
2020,State Assembly,Philip P. O'Neill,44
2020,State Assembly,John C. Gerhardt,42
2020,State Assembly,Jeremy A. Graves,42
2020,State Assembly,Susan Martinez,42
2020,State Assembly,Lesley E. Cohen,40
2020,State Assembly,Steven E. Delisle,40
2020,State Assembly,Shannon Bilbray-Axelrod,36
2020,State Assembly,Jay T. Carlson,36
2020,State Assembly,Garrett Leduff,36
2020,State Assembly,Heather A. Florian,36
2020,State Assembly,Steve Yeager,35
2020,State Assembly,Cecelia González,34
2020,State Assembly,Victoria K. Dacosta,33
2020,State Assembly,Sayed S. Zaidi,26
2020,State Assembly,Beatrice Duran,26
2020,State Assembly,Edgar Flores,20
