county,precinct,office,district,candidate,votes,party
Carson City,Carson City-Precinct 107,School Trustee Dist. 6,,"HART, SUSAN",813,
Carson City,Carson City-Precinct 107,"State Assembly, District 40",,"GREEDY, MICHAEL L.",296,DEM
Carson City,Carson City-Precinct 107,"State Assembly, District 40",,"KRAMER, AL",685,REP
Carson City,Carson City-Precinct 107,"State Assembly, District 40",,"WAGNER, JOHN",50,IAP
Carson City,Carson City-Precinct 107,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",417,
Carson City,Carson City-Precinct 107,"State Board of Education, Dist. 2",,"HICKEY, PAT",456,
Carson City,Carson City-Precinct 107,STATE QUESTION NO.1,,No,700,
Carson City,Carson City-Precinct 107,STATE QUESTION NO.1,,Yes,381,
Carson City,Carson City-Precinct 107,STATE QUESTION NO.2,,No,684,
Carson City,Carson City-Precinct 107,STATE QUESTION NO.2,,Yes,397,
Carson City,Carson City-Precinct 107,STATE QUESTION NO.3,,No,492,
Carson City,Carson City-Precinct 107,STATE QUESTION NO.3,,Yes,566,
Carson City,Carson City-Precinct 107,STATE QUESTION NO.4,,No,390,
Carson City,Carson City-Precinct 107,STATE QUESTION NO.4,,Yes,666,
Carson City,Carson City-Precinct 107,"Supervisor, Ward 2",,"BONKOWSKI, BRAD",575,
Carson City,Carson City-Precinct 107,"Supervisor, Ward 2",,"WHITE, MAURICE",373,
Carson City,Carson City-Precinct 107,"Supervisor, Ward 4",,"BARRETTE, JOHN",488,
Carson City,Carson City-Precinct 107,"Supervisor, Ward 4",,"SHIRK, JIM",457,
Carson City,Carson City-Precinct 107,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",770,
Carson City,Carson City-Precinct 107,"Supreme Court Justice, Seat A",,None Of These Candidates,196,
Carson City,Carson City-Precinct 107,"Supreme Court Justice, Seat E",,None Of These Candidates,198,
Carson City,Carson City-Precinct 107,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",762,
Carson City,Carson City-Precinct 107,U.S. House,2,"Amodei, Mark E.",707,REP
Carson City,Carson City-Precinct 107,U.S. House,2,"EVANS, H.D. CHIP""""",330,DEM
Carson City,Carson City-Precinct 107,U.S. House,2,"Everhart, John H.",13,IAP
Carson City,Carson City-Precinct 107,U.S. House,2,"KNIGHT, DREW",11,
Carson City,Carson City-Precinct 107,U.S. Senate,,"CORTEZ MASTO, CATHERINE",397,DEM
Carson City,Carson City-Precinct 107,U.S. Senate,,"GUMINA, TONY",4,
Carson City,Carson City-Precinct 107,U.S. Senate,,"HECK, JOE",643,REP
Carson City,Carson City-Precinct 107,U.S. Senate,,"JONES, TOM",8,IAP
Carson City,Carson City-Precinct 107,U.S. Senate,,None Of These Candidates,23,
Carson City,Carson City-Precinct 107,U.S. Senate,,"SAWYER, THOMAS TOM""""",8,
Carson City,Carson City-Precinct 107,U.S. Senate,,"WILLIAMS, JARROD M.",2,
Carson City,Carson City-Precinct 107,"University Board of Regents, Dist. 9",,"DEL CARLO, CAROL",441,
Carson City,Carson City-Precinct 107,"University Board of Regents, Dist. 9",,"LAFRANCE, SARA",471,
Carson City,Carson City-Precinct 109,COUNTY QUESTION CC1,,No,741,
Carson City,Carson City-Precinct 109,COUNTY QUESTION CC1,,Yes,419,
Carson City,Carson City-Precinct 109,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,241,
Carson City,Carson City-Precinct 109,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",788,
Carson City,Carson City-Precinct 109,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",838,
Carson City,Carson City-Precinct 109,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,201,
Carson City,Carson City-Precinct 109,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,229,
Carson City,Carson City-Precinct 109,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",797,
Carson City,Carson City-Precinct 109,Mayor of Carson City,,"CARVER, CHRIS",496,
Carson City,Carson City-Precinct 109,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",584,
Carson City,Carson City-Precinct 109,President,,"CASTLE, DARRELL",11,IAP
Carson City,Carson City-Precinct 109,President,,"CLINTON, HILLARY",482,DEM
Carson City,Carson City-Precinct 109,President,,"DE LA FUENTE, ROQUE ROCKY""""",0,NPP
Carson City,Carson City-Precinct 109,President,,"JOHNSON, GARY",47,LPN
Carson City,Carson City-Precinct 109,President,,None Of These Candidates,35,
Carson City,Carson City-Precinct 109,President,,"TRUMP, DONALD J.",606,REP
Carson City,Carson City-Precinct 109,School Trustee Dist. 5,,"REYNOLDS, STEVEN",423,
Carson City,Carson City-Precinct 109,School Trustee Dist. 5,,"WALKER, MICHAEL B.",517,
Carson City,Carson City-Precinct 109,School Trustee Dist. 6,,"HART, SUSAN",912,
Carson City,Carson City-Precinct 109,"State Assembly, District 40",,"GREEDY, MICHAEL L.",366,DEM
Carson City,Carson City-Precinct 109,"State Assembly, District 40",,"KRAMER, AL",688,REP
Carson City,Carson City-Precinct 109,"State Assembly, District 40",,"WAGNER, JOHN",66,IAP
Carson City,Carson City-Precinct 109,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",517,
Carson City,Carson City-Precinct 109,"State Board of Education, Dist. 2",,"HICKEY, PAT",433,
Carson City,Carson City-Precinct 109,STATE QUESTION NO.1,,No,730,
Carson City,Carson City-Precinct 109,STATE QUESTION NO.1,,Yes,440,
Carson City,Carson City-Precinct 109,STATE QUESTION NO.2,,No,683,
Carson City,Carson City-Precinct 109,STATE QUESTION NO.2,,Yes,482,
Carson City,Carson City-Precinct 109,STATE QUESTION NO.3,,No,468,
Carson City,Carson City-Precinct 109,STATE QUESTION NO.3,,Yes,669,
Carson City,Carson City-Precinct 109,STATE QUESTION NO.4,,No,362,
Carson City,Carson City-Precinct 109,STATE QUESTION NO.4,,Yes,775,
Carson City,Carson City-Precinct 109,"Supervisor, Ward 2",,"BONKOWSKI, BRAD",598,
Carson City,Carson City-Precinct 109,"Supervisor, Ward 2",,"WHITE, MAURICE",429,
Carson City,Carson City-Precinct 109,"Supervisor, Ward 4",,"BARRETTE, JOHN",539,
Carson City,Carson City-Precinct 109,"Supervisor, Ward 4",,"SHIRK, JIM",498,
Carson City,Carson City-Precinct 109,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",867,
Carson City,Carson City-Precinct 109,"Supreme Court Justice, Seat A",,None Of These Candidates,186,
Carson City,Carson City-Precinct 109,"Supreme Court Justice, Seat E",,None Of These Candidates,226,
Carson City,Carson City-Precinct 109,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",814,
Carson City,Carson City-Precinct 109,U.S. House,2,"Amodei, Mark E.",718,REP
Carson City,Carson City-Precinct 109,U.S. House,2,"EVANS, H.D. CHIP""""",376,DEM
Carson City,Carson City-Precinct 109,U.S. House,2,"Everhart, John H.",34,IAP
Carson City,Carson City-Precinct 109,U.S. House,2,"KNIGHT, DREW",18,
Carson City,Carson City-Precinct 109,U.S. Senate,,"CORTEZ MASTO, CATHERINE",469,DEM
Carson City,Carson City-Precinct 109,U.S. Senate,,"GUMINA, TONY",12,
Carson City,Carson City-Precinct 109,U.S. Senate,,"HECK, JOE",622,REP
Carson City,Carson City-Precinct 109,U.S. Senate,,"JONES, TOM",16,IAP
Carson City,Carson City-Precinct 109,U.S. Senate,,None Of These Candidates,32,
Carson City,Carson City-Precinct 109,U.S. Senate,,"SAWYER, THOMAS TOM""""",16,
Carson City,Carson City-Precinct 109,U.S. Senate,,"WILLIAMS, JARROD M.",4,
Carson City,Carson City-Precinct 109,"University Board of Regents, Dist. 9",,"DEL CARLO, CAROL",500,
Carson City,Carson City-Precinct 109,"University Board of Regents, Dist. 9",,"LAFRANCE, SARA",508,
Carson City,Carson City-Precinct 111,COUNTY QUESTION CC1,,No,715,
Carson City,Carson City-Precinct 111,COUNTY QUESTION CC1,,Yes,423,
Carson City,Carson City-Precinct 111,"Court Of Appeals Judge, Dept. 1",,None Of These Candidates,297,
Carson City,Carson City-Precinct 111,"Court Of Appeals Judge, Dept. 1",,"TAO, JERRY",749,
Carson City,Carson City-Precinct 111,"Court Of Appeals Judge, Dept. 2",,"GIBBONS, MICHAEL",780,
Carson City,Carson City-Precinct 111,"Court Of Appeals Judge, Dept. 2",,None Of These Candidates,271,
Carson City,Carson City-Precinct 111,"Court Of Appeals Judge, Dept. 3",,None Of These Candidates,284,
Carson City,Carson City-Precinct 111,"Court Of Appeals Judge, Dept. 3",,"SILVER, ABBI",755,
Carson City,Carson City-Precinct 111,Mayor of Carson City,,"CARVER, CHRIS",506,
Carson City,Carson City-Precinct 111,Mayor of Carson City,,"CROWELL, ROBERT BOB""""",513,
Carson City,Carson City-Precinct 111,President,,"CASTLE, DARRELL",4,IAP
Carson City,Carson City-Precinct 111,President,,"CLINTON, HILLARY",516,DEM
Carson City,Carson City-Precinct 111,President,,"DE LA FUENTE, ROQUE ROCKY""""",5,NPP
Carson City,Carson City-Precinct 111,President,,"JOHNSON, GARY",80,LPN
Carson City,Carson City-Precinct 111,President,,None Of These Candidates,25,
Carson City,Carson City-Precinct 111,President,,"TRUMP, DONALD J.",528,REP
Carson City,Carson City-Precinct 111,School Trustee Dist. 5,,"REYNOLDS, STEVEN",401,
Carson City,Carson City-Precinct 111,School Trustee Dist. 5,,"WALKER, MICHAEL B.",529,
Carson City,Carson City-Precinct 111,School Trustee Dist. 6,,"HART, SUSAN",904,
Carson City,Carson City-Precinct 111,"State Assembly, District 40",,"GREEDY, MICHAEL L.",457,DEM
Carson City,Carson City-Precinct 111,"State Assembly, District 40",,"KRAMER, AL",549,REP
Carson City,Carson City-Precinct 111,"State Assembly, District 40",,"WAGNER, JOHN",87,IAP
Carson City,Carson City-Precinct 111,"State Board of Education, Dist. 2",,"CARTER, DAVID W.",520,
Carson City,Carson City-Precinct 111,"State Board of Education, Dist. 2",,"HICKEY, PAT",427,
Carson City,Carson City-Precinct 111,STATE QUESTION NO.1,,No,662,
Carson City,Carson City-Precinct 111,STATE QUESTION NO.1,,Yes,486,
Carson City,Carson City-Precinct 111,STATE QUESTION NO.2,,No,463,
Carson City,Carson City-Precinct 111,STATE QUESTION NO.2,,Yes,686,
Carson City,Carson City-Precinct 111,STATE QUESTION NO.3,,No,366,
Carson City,Carson City-Precinct 111,STATE QUESTION NO.3,,Yes,748,
Carson City,Carson City-Precinct 111,STATE QUESTION NO.4,,No,339,
Carson City,Carson City-Precinct 111,STATE QUESTION NO.4,,Yes,769,
Carson City,Carson City-Precinct 111,"Supervisor, Ward 2",,"BONKOWSKI, BRAD",580,
Carson City,Carson City-Precinct 111,"Supervisor, Ward 2",,"WHITE, MAURICE",391,
Carson City,Carson City-Precinct 111,"Supervisor, Ward 4",,"BARRETTE, JOHN",526,
Carson City,Carson City-Precinct 111,"Supervisor, Ward 4",,"SHIRK, JIM",451,
Carson City,Carson City-Precinct 111,"Supreme Court Justice, Seat A",,"HARDESTY, JIM",766,
Carson City,Carson City-Precinct 111,"Supreme Court Justice, Seat A",,None Of These Candidates,277,
Carson City,Carson City-Precinct 111,"Supreme Court Justice, Seat E",,None Of These Candidates,296,
Carson City,Carson City-Precinct 111,"Supreme Court Justice, Seat E",,"PARRAGUIRRE, RON D.",749,
Carson City,Carson City-Precinct 111,U.S. House,2,"Amodei, Mark E.",564,REP
Carson City,Carson City-Precinct 111,U.S. House,2,"EVANS, H.D. CHIP""""",463,DEM
Carson City,Carson City-Precinct 111,U.S. House,2,"Everhart, John H.",45,IAP
Carson City,Carson City-Precinct 111,U.S. House,2,"KNIGHT, DREW",34,
Carson City,Carson City-Precinct 111,U.S. Senate,,"CORTEZ MASTO, CATHERINE",519,DEM
Carson City,Carson City-Precinct 111,U.S. Senate,,"GUMINA, TONY",13,
Carson City,Carson City-Precinct 111,U.S. Senate,,"HECK, JOE",514,REP
Carson City,Carson City-Precinct 111,U.S. Senate,,"JONES, TOM",25,IAP
Carson City,Carson City-Precinct 111,U.S. Senate,,None Of These Candidates,54,
Carson City,Carson City-Precinct 111,U.S. Senate,,"SAWYER, THOMAS TOM""""",17,
Carson City,Carson City-Precinct 111,U.S. Senate,,"WILLIAMS, JARROD M.",8,
