2012 Statewide General Election Results,,,,
"Note: In cases where the cumulative turnout for a precinct for a race or ballot question is greater than 0 but less than 10, the numbers have been replaced with an asterisk (*) in order to protect the secrecy of a voter's ballot, as required by Nevada Law. As a result, the total for a precinct may be different from what is reported on official documents. ",,,,
,,,,
Jurisdiction,Precinct,Contest,Selection,Votes
Carson City,Precinct 109,President and Vice President of the United States,"JOHNSON, GARY",8
Carson City,Precinct 109,President and Vice President of the United States,None Of These Candidates,15
Carson City,Precinct 109,"U.S. Representative in Congress, District 2","Best, Russell",20
Carson City,Precinct 109,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",31
Carson City,Precinct 109,United States Senator,"VANDERBEEK, DAVID LORY",34
Carson City,Precinct 109,United States Senator,None Of These Candidates,48
Carson City,Precinct 109,"Supreme Court Justice, Seat F",None Of These Candidates,202
Carson City,Precinct 109,"Supreme Court Justice, Seat G",None Of These Candidates,211
Carson City,Precinct 109,"Supreme Court Justice, Seat C",None Of These Candidates,223
Carson City,Precinct 109,"Justice of the Peace, Dept. 1","BELL, MICHAEL F.",241
Carson City,Precinct 109,School Trustee District 2,"MOELLENDORF, DONNIE",326
Carson City,Precinct 109,CC 1,Yes,342
Carson City,Precinct 109,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",359
Carson City,Precinct 109,School Trustee District 7,"MUELLER, J. ALICE",372
Carson City,Precinct 109,United States Senator,"Berkley, Shelley",386
Carson City,Precinct 109,"University Board of Regents, District  9","Mackedon, Michon",419
Carson City,Precinct 109,"State Board of Education, District 2","Clontz, Donna",433
Carson City,Precinct 109,"State Assembly, District 40","Dunn, Rich",444
Carson City,Precinct 109,State Question No. 1,Yes,455
Carson City,Precinct 109,Supervisor Ward 2,"JOHNSON, DENNIS E.",464
Carson City,Precinct 109,Supervisor Ward 4,"WALT, MOLLY",496
Carson City,Precinct 109,President and Vice President of the United States,"Obama, Barack",510
Carson City,Precinct 109,Supervisor Ward 2,"BONKOWSKI, BRAD",544
Carson City,Precinct 109,Supervisor Ward 4,"SHIRK, JIM",549
Carson City,Precinct 109,"State Board of Education, District 2","Cook, Dave",566
Carson City,Precinct 109,School Trustee District 7,"CACIOPPO, JOE",575
Carson City,Precinct 109,School Trustee District 2,"CROSSMAN, LAUREL",586
Carson City,Precinct 109,"University Board of Regents, District  9","Knecht, Ron",622
Carson City,Precinct 109,President and Vice President of the United States,"Romney, Mitt",648
Carson City,Precinct 109,State Question No. 1,No,669
Carson City,Precinct 109,"State Assembly, District 40","Livermore, Pete",680
Carson City,Precinct 109,United States Senator,"Heller, Dean",707
Carson City,Precinct 109,"U.S. Representative in Congress, District 2","Amodei, Mark E.",744
Carson City,Precinct 109,"Justice of the Peace, Dept. 1","ARMSTRONG, TOM",749
Carson City,Precinct 109,"Supreme Court Justice, Seat G","Saitta, Nancy M.",792
Carson City,Precinct 109,"Supreme Court Justice, Seat C","Cherry, Michael A.",796
Carson City,Precinct 109,CC 1,No,809
Carson City,Precinct 109,"Supreme Court Justice, Seat F","Douglas, Michael L.",816
Carson City,Precinct 111,President and Vice President of the United States,"GOODE, VIRGIL",6
Carson City,Precinct 111,President and Vice President of the United States,None Of These Candidates,10
Carson City,Precinct 111,President and Vice President of the United States,"JOHNSON, GARY",18
Carson City,Precinct 111,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",42
Carson City,Precinct 111,United States Senator,None Of These Candidates,53
Carson City,Precinct 111,"U.S. Representative in Congress, District 2","Best, Russell",54
Carson City,Precinct 111,United States Senator,"VANDERBEEK, DAVID LORY",69
Carson City,Precinct 111,"Supreme Court Justice, Seat F",None Of These Candidates,220
Carson City,Precinct 111,"Supreme Court Justice, Seat G",None Of These Candidates,223
Carson City,Precinct 111,"Supreme Court Justice, Seat C",None Of These Candidates,234
Carson City,Precinct 111,School Trustee District 2,"MOELLENDORF, DONNIE",259
Carson City,Precinct 111,"Justice of the Peace, Dept. 1","BELL, MICHAEL F.",276
Carson City,Precinct 111,"University Board of Regents, District  9","Mackedon, Michon",283
Carson City,Precinct 111,United States Senator,"Berkley, Shelley",340
Carson City,Precinct 111,CC 1,Yes,343
Carson City,Precinct 111,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",366
Carson City,Precinct 111,School Trustee District 7,"CACIOPPO, JOE",369
Carson City,Precinct 111,"State Board of Education, District 2","Clontz, Donna",376
Carson City,Precinct 111,Supervisor Ward 4,"SHIRK, JIM",376
Carson City,Precinct 111,Supervisor Ward 2,"JOHNSON, DENNIS E.",389
Carson City,Precinct 111,Supervisor Ward 2,"BONKOWSKI, BRAD",417
Carson City,Precinct 111,School Trustee District 7,"MUELLER, J. ALICE",428
Carson City,Precinct 111,State Question No. 1,Yes,435
Carson City,Precinct 111,President and Vice President of the United States,"Romney, Mitt",443
Carson City,Precinct 111,Supervisor Ward 4,"WALT, MOLLY",449
Carson City,Precinct 111,"State Assembly, District 40","Dunn, Rich",450
Carson City,Precinct 111,"State Board of Education, District 2","Cook, Dave",450
Carson City,Precinct 111,"State Assembly, District 40","Livermore, Pete",480
Carson City,Precinct 111,"U.S. Representative in Congress, District 2","Amodei, Mark E.",486
Carson City,Precinct 111,President and Vice President of the United States,"Obama, Barack",494
Carson City,Precinct 111,State Question No. 1,No,494
Carson City,Precinct 111,United States Senator,"Heller, Dean",496
Carson City,Precinct 111,School Trustee District 2,"CROSSMAN, LAUREL",525
Carson City,Precinct 111,"Justice of the Peace, Dept. 1","ARMSTRONG, TOM",529
Carson City,Precinct 111,"University Board of Regents, District  9","Knecht, Ron",551
Carson City,Precinct 111,CC 1,No,604
Carson City,Precinct 111,"Supreme Court Justice, Seat C","Cherry, Michael A.",630
Carson City,Precinct 111,"Supreme Court Justice, Seat G","Saitta, Nancy M.",644
Carson City,Precinct 111,"Supreme Court Justice, Seat F","Douglas, Michael L.",645
Carson City,Precinct 113,President and Vice President of the United States,"GOODE, VIRGIL",8
Carson City,Precinct 113,President and Vice President of the United States,"JOHNSON, GARY",13
Carson City,Precinct 113,President and Vice President of the United States,None Of These Candidates,13
Carson City,Precinct 113,"U.S. Representative in Congress, District 2","Best, Russell",24
Carson City,Precinct 113,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",27
Carson City,Precinct 113,United States Senator,None Of These Candidates,39
Carson City,Precinct 113,United States Senator,"VANDERBEEK, DAVID LORY",63
Carson City,Precinct 113,"Supreme Court Justice, Seat F",None Of These Candidates,210
Carson City,Precinct 113,"Supreme Court Justice, Seat G",None Of These Candidates,222
Carson City,Precinct 113,"Supreme Court Justice, Seat C",None Of These Candidates,226
Carson City,Precinct 113,"Justice of the Peace, Dept. 1","BELL, MICHAEL F.",303
Carson City,Precinct 113,CC 1,Yes,323
Carson City,Precinct 113,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",348
Carson City,Precinct 113,United States Senator,"Berkley, Shelley",351
Carson City,Precinct 113,School Trustee District 2,"MOELLENDORF, DONNIE",374
Carson City,Precinct 113,"University Board of Regents, District  9","Mackedon, Michon",404
Carson City,Precinct 113,"State Assembly, District 40","Dunn, Rich",443
Carson City,Precinct 113,School Trustee District 7,"MUELLER, J. ALICE",444
Carson City,Precinct 113,"State Board of Education, District 2","Clontz, Donna",452
Carson City,Precinct 113,President and Vice President of the United States,"Obama, Barack",453
Carson City,Precinct 113,Supervisor Ward 2,"JOHNSON, DENNIS E.",470
Carson City,Precinct 113,Supervisor Ward 4,"WALT, MOLLY",475
Carson City,Precinct 113,State Question No. 1,Yes,479
Carson City,Precinct 113,School Trustee District 7,"CACIOPPO, JOE",563
Carson City,Precinct 113,Supervisor Ward 2,"BONKOWSKI, BRAD",582
Carson City,Precinct 113,"State Board of Education, District 2","Cook, Dave",608
Carson City,Precinct 113,Supervisor Ward 4,"SHIRK, JIM",609
Carson City,Precinct 113,School Trustee District 2,"CROSSMAN, LAUREL",616
Carson City,Precinct 113,"University Board of Regents, District  9","Knecht, Ron",677
Carson City,Precinct 113,State Question No. 1,No,697
Carson City,Precinct 113,"State Assembly, District 40","Livermore, Pete",722
Carson City,Precinct 113,President and Vice President of the United States,"Romney, Mitt",734
Carson City,Precinct 113,"Justice of the Peace, Dept. 1","ARMSTRONG, TOM",740
Carson City,Precinct 113,United States Senator,"Heller, Dean",762
Carson City,Precinct 113,"U.S. Representative in Congress, District 2","Amodei, Mark E.",787
Carson City,Precinct 113,"Supreme Court Justice, Seat G","Saitta, Nancy M.",859
Carson City,Precinct 113,"Supreme Court Justice, Seat C","Cherry, Michael A.",864
Carson City,Precinct 113,CC 1,No,876
Carson City,Precinct 113,"Supreme Court Justice, Seat F","Douglas, Michael L.",879
Carson City,Precinct 201,President and Vice President of the United States,"GOODE, VIRGIL",4
Carson City,Precinct 201,President and Vice President of the United States,None Of These Candidates,9
Carson City,Precinct 201,President and Vice President of the United States,"JOHNSON, GARY",11
Carson City,Precinct 201,"U.S. Representative in Congress, District 2","Best, Russell",22
Carson City,Precinct 201,United States Senator,None Of These Candidates,22
Carson City,Precinct 201,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",31
Carson City,Precinct 201,United States Senator,"VANDERBEEK, DAVID LORY",42
Carson City,Precinct 201,"Supreme Court Justice, Seat F",None Of These Candidates,145
Carson City,Precinct 201,"Supreme Court Justice, Seat G",None Of These Candidates,149
Carson City,Precinct 201,"Supreme Court Justice, Seat C",None Of These Candidates,153
Carson City,Precinct 201,"Justice of the Peace, Dept. 1","BELL, MICHAEL F.",197
Carson City,Precinct 201,School Trustee District 2,"MOELLENDORF, DONNIE",199
Carson City,Precinct 201,"University Board of Regents, District  9","Mackedon, Michon",253
Carson City,Precinct 201,CC 1,Yes,272
Carson City,Precinct 201,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",280
Carson City,Precinct 201,United States Senator,"Berkley, Shelley",283
Carson City,Precinct 201,"State Board of Education, District 2","Clontz, Donna",291
Carson City,Precinct 201,School Trustee District 7,"CACIOPPO, JOE",302
Carson City,Precinct 201,Supervisor Ward 2,"JOHNSON, DENNIS E.",309
Carson City,Precinct 201,Supervisor Ward 4,"SHIRK, JIM",314
Carson City,Precinct 201,School Trustee District 7,"MUELLER, J. ALICE",327
Carson City,Precinct 201,State Question No. 1,Yes,335
Carson City,Precinct 201,"State Assembly, District 40","Dunn, Rich",344
Carson City,Precinct 201,President and Vice President of the United States,"Romney, Mitt",348
Carson City,Precinct 201,Supervisor Ward 2,"BONKOWSKI, BRAD",348
Carson City,Precinct 201,Supervisor Ward 4,"WALT, MOLLY",355
Carson City,Precinct 201,"State Board of Education, District 2","Cook, Dave",362
Carson City,Precinct 201,"State Assembly, District 40","Livermore, Pete",376
Carson City,Precinct 201,President and Vice President of the United States,"Obama, Barack",380
Carson City,Precinct 201,State Question No. 1,No,385
Carson City,Precinct 201,United States Senator,"Heller, Dean",397
Carson City,Precinct 201,"U.S. Representative in Congress, District 2","Amodei, Mark E.",400
Carson City,Precinct 201,"University Board of Regents, District  9","Knecht, Ron",408
Carson City,Precinct 201,School Trustee District 2,"CROSSMAN, LAUREL",425
Carson City,Precinct 201,"Justice of the Peace, Dept. 1","ARMSTRONG, TOM",455
Carson City,Precinct 201,CC 1,No,469
Carson City,Precinct 201,"Supreme Court Justice, Seat C","Cherry, Michael A.",521
Carson City,Precinct 201,"Supreme Court Justice, Seat G","Saitta, Nancy M.",521
Carson City,Precinct 201,"Supreme Court Justice, Seat F","Douglas, Michael L.",538
Carson City,Precinct 203,President and Vice President of the United States,"JOHNSON, GARY",8
Carson City,Precinct 203,President and Vice President of the United States,None Of These Candidates,8
Carson City,Precinct 203,President and Vice President of the United States,"GOODE, VIRGIL",9
Carson City,Precinct 203,"U.S. Representative in Congress, District 2","Best, Russell",35
Carson City,Precinct 203,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",35
Carson City,Precinct 203,United States Senator,None Of These Candidates,51
Carson City,Precinct 203,United States Senator,"VANDERBEEK, DAVID LORY",61
Carson City,Precinct 203,"Supreme Court Justice, Seat C",None Of These Candidates,184
Carson City,Precinct 203,"Supreme Court Justice, Seat F",None Of These Candidates,186
Carson City,Precinct 203,"Supreme Court Justice, Seat G",None Of These Candidates,193
Carson City,Precinct 203,"Justice of the Peace, Dept. 1","BELL, MICHAEL F.",266
Carson City,Precinct 203,School Trustee District 2,"MOELLENDORF, DONNIE",268
Carson City,Precinct 203,"University Board of Regents, District  9","Mackedon, Michon",356
Carson City,Precinct 203,CC 1,Yes,361
Carson City,Precinct 203,United States Senator,"Berkley, Shelley",370
Carson City,Precinct 203,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",380
Carson City,Precinct 203,School Trustee District 7,"MUELLER, J. ALICE",389
Carson City,Precinct 203,"State Board of Education, District 2","Clontz, Donna",393
Carson City,Precinct 203,Supervisor Ward 2,"JOHNSON, DENNIS E.",394
Carson City,Precinct 203,Supervisor Ward 4,"SHIRK, JIM",394
Carson City,Precinct 203,School Trustee District 7,"CACIOPPO, JOE",463
Carson City,Precinct 203,State Question No. 1,Yes,464
Carson City,Precinct 203,Supervisor Ward 2,"BONKOWSKI, BRAD",472
Carson City,Precinct 203,President and Vice President of the United States,"Romney, Mitt",481
Carson City,Precinct 203,"State Board of Education, District 2","Cook, Dave",490
Carson City,Precinct 203,"State Assembly, District 40","Dunn, Rich",493
Carson City,Precinct 203,"State Assembly, District 40","Livermore, Pete",493
Carson City,Precinct 203,Supervisor Ward 4,"WALT, MOLLY",507
Carson City,Precinct 203,President and Vice President of the United States,"Obama, Barack",515
Carson City,Precinct 203,State Question No. 1,No,517
Carson City,Precinct 203,United States Senator,"Heller, Dean",531
Carson City,Precinct 203,"University Board of Regents, District  9","Knecht, Ron",532
Carson City,Precinct 203,"U.S. Representative in Congress, District 2","Amodei, Mark E.",542
Carson City,Precinct 203,School Trustee District 2,"CROSSMAN, LAUREL",561
Carson City,Precinct 203,"Justice of the Peace, Dept. 1","ARMSTRONG, TOM",603
Carson City,Precinct 203,CC 1,No,634
Carson City,Precinct 203,"Supreme Court Justice, Seat G","Saitta, Nancy M.",690
Carson City,Precinct 203,"Supreme Court Justice, Seat C","Cherry, Michael A.",699
Carson City,Precinct 203,"Supreme Court Justice, Seat F","Douglas, Michael L.",705
Carson City,Precinct 205,President and Vice President of the United States,"GOODE, VIRGIL",8
Carson City,Precinct 205,President and Vice President of the United States,"JOHNSON, GARY",10
Carson City,Precinct 205,President and Vice President of the United States,None Of These Candidates,10
Carson City,Precinct 205,"U.S. Representative in Congress, District 2","Best, Russell",30
Carson City,Precinct 205,"U.S. Representative in Congress, District 2","HAINES, MICHAEL L.",37
Carson City,Precinct 205,United States Senator,None Of These Candidates,55
Carson City,Precinct 205,United States Senator,"VANDERBEEK, DAVID LORY",57
Carson City,Precinct 205,"Supreme Court Justice, Seat G",None Of These Candidates,228
Carson City,Precinct 205,"Supreme Court Justice, Seat C",None Of These Candidates,231
Carson City,Precinct 205,"Supreme Court Justice, Seat F",None Of These Candidates,236
Carson City,Precinct 205,"Justice of the Peace, Dept. 1","BELL, MICHAEL F.",297
Carson City,Precinct 205,School Trustee District 2,"MOELLENDORF, DONNIE",312
Carson City,Precinct 205,"University Board of Regents, District  9","Mackedon, Michon",373
Carson City,Precinct 205,CC 1,Yes,398
Carson City,Precinct 205,United States Senator,"Berkley, Shelley",401
Carson City,Precinct 205,"U.S. Representative in Congress, District 2","KOEPNICK, SAMUEL",430
Carson City,Precinct 205,"State Board of Education, District 2","Clontz, Donna",458
Carson City,Precinct 205,School Trustee District 7,"MUELLER, J. ALICE",470
Carson City,Precinct 205,Supervisor Ward 2,"JOHNSON, DENNIS E.",476
Carson City,Precinct 205,State Question No. 1,Yes,497
Carson City,Precinct 205,School Trustee District 7,"CACIOPPO, JOE",506
Carson City,Precinct 205,"State Assembly, District 40","Dunn, Rich",522
Carson City,Precinct 205,Supervisor Ward 4,"SHIRK, JIM",525
Carson City,Precinct 205,Supervisor Ward 4,"WALT, MOLLY",530
Carson City,Precinct 205,Supervisor Ward 2,"BONKOWSKI, BRAD",542
Carson City,Precinct 205,"State Board of Education, District 2","Cook, Dave",567
